neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,host_is_superhost,host_identity_verified,host_response_time,host_since,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
"València, Comunidad Valenciana, Spain",ARRANCAPINS,EXTRAMURS,Entire rental unit,Entire home/apt,2 baths,"[""Bathtub"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Dishes and silverware"", ""Oven"", ""Shared beach access"", ""Hot water"", ""Refrigerator"", ""Beach essentials"", ""Dryer"", ""Washer"", ""Bed linens"", ""Babysitter recommendations"", ""Hangers"", ""Hair dryer"", ""Heating"", ""Dishwasher"", ""Stove"", ""Toaster"", ""Paid parking off premises"", ""Private entrance"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Crib"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Elevator"", ""High chair"", ""Iron"", ""Air conditioning"", ""Clothing storage: closet and dresser"", ""TV"", ""Wifi"", ""Mosquito net"", ""Children\u2019s dinnerware"", ""Microwave"", ""Baby safety gates"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,28/10/2018,31/05/2025,Registro AT-44370-V,f,f,t,within a few hours,18/09/2017,26058798.0,151054600,39.4658,-0.38837,6.0,1.0,1.4,4.0,125.0,11.0,180.0,1.9,11.0,180,180,11.0,180.0,10,28,44,260,82.0,17.0,2.0,1.01,4.54,4.76,4.74,4.74,4.83,4.54,4.46,3.0,3.0,0.0,0.0
"València, Comunidad Valenciana, Spain",LA RAIOSA,JESUS,Entire rental unit,Entire home/apt,2 baths,"[""Bathtub"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Toaster"", ""Private entrance"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Neutro de viaje shampoo"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Elevator"", ""Paid parking on premises"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Mosquito net"", ""Clothing storage"", ""Microwave"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,01/07/2018,01/06/2025,VT-44951-V,f,f,t,within an hour,16/06/2018,26070439.0,195935272,39.45698,-0.38589,4.0,1.0,3.0,3.0,130.0,2.0,30.0,2.0,2.0,30,30,2.0,30.0,14,44,74,159,65.0,4.0,1.0,0.77,4.72,4.85,4.8,4.88,4.91,4.49,4.6,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",CIUTAT JARDI,ALGIROS,Private room in rental unit,Private room,2 shared baths,"[""Bathtub"", ""Cleaning products"", ""Garden view"", ""Backyard"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Est\u00e1ndar body soap"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Patio or balcony"", ""Laundromat nearby"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Clothing storage: closet"", ""Essentials"", ""Coffee maker"", ""Extra pillows and blankets"", ""Elevator"", ""Blender"", ""Iron"", ""Beach access \u2013 Beachfront"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,01/07/2018,12/06/2025,Sin licencia,f,f,t,within an hour,16/06/2018,26078078.0,195995696,39.47117,-0.34679,2.0,1.0,1.0,1.0,57.0,1.0,60.0,1.0,1.0,60,60,1.0,60.0,21,42,55,55,95.0,31.0,1.0,1.12,4.6,4.71,4.21,4.87,4.95,4.67,4.67,4.0,0.0,0.3,0.0
"València, Comunidad Valenciana, Spain",RUSSAFA,L'EIXAMPLE,Entire rental unit,Entire home/apt,2 baths,"[""Bathtub"", ""Ceiling fan"", ""Bidet"", ""Kitchen"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Shampoo"", ""Self check-in"", ""Paid street parking off premises"", ""Cooking basics"", ""Smart lock"", ""Books and reading material"", ""Essentials"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Central heating"", ""Private patio or balcony"", ""Elevator"", ""Iron"", ""TV"", ""Wifi"", ""Microwave"", ""Portable fans""]",t,20/06/2025,16/08/2018,06/06/2025,VT-44009-V,f,t,t,within an hour,02/09/2016,26080649.0,93135594,39.45892,-0.37611,4.0,1.0,2.0,2.0,127.0,2.0,10.0,2.0,7.0,10,10,4.5,10.0,2,12,41,217,23.3,34.0,1.0,2.04,4.82,4.88,4.9,4.86,4.86,4.93,4.72,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",EL GRAU,POBLATS MARITIMS,Entire home,Entire home/apt,2 baths,"[""Kitchen"", ""Luggage dropoff allowed"", ""Outdoor dining area"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Shampoo"", ""Paid parking off premises"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""Crib"", ""Self check-in"", ""Cooking basics"", ""Cleaning available during stay"", ""Essentials"", ""Coffee maker"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Elevator"", ""High chair"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""Free street parking"", ""TV"", ""Children\u2019s dinnerware"", ""Microwave"", ""First aid kit"", ""Fast wifi \u2013 144 Mbps""]",t,20/06/2025,22/07/2018,01/06/2025,VT-45001-V,t,t,t,within an hour,01/04/2018,26081951.0,181809211,39.46037,-0.33476,7.0,1.0,3.0,4.0,208.0,2.0,60.0,2.0,2.0,1125,1125,2.0,1125.0,13,33,57,108,23.3,23.0,2.0,2.43,4.93,4.93,4.94,4.96,4.93,4.77,4.83,3.0,3.0,0.0,0.0
Desconocido,TRINITAT,LA SAIDIA,Entire rental unit,Entire home/apt,1 bath,"[""Bathtub"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Patio or balcony"", ""Lockbox"", ""Crib"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Dining table"", ""Paid parking on premises"", ""High chair"", ""Iron"", ""Air conditioning"", ""Pool"", ""TV"", ""Wifi"", ""Clothing storage"", ""Microwave"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,07/03/2022,05/06/2023,VT-34098-V,t,f,t,within an hour,30/01/2018,26123354.0,170698476,39.4807,-0.37029,5.0,1.0,2.0,4.0,101.4,1.0,242.2,4.0,11.0,365,365,10.8,365.0,19,49,79,123,4.0,0.0,0.0,0.1,4.25,4.5,3.75,4.75,4.75,4.75,4.25,4.7,2.9,0.0,0.0
Desconocido,TRINITAT,LA SAIDIA,Entire rental unit,Entire home/apt,1 bath,"[""Bathtub"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Patio or balcony"", ""Lockbox"", ""Crib"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Dining table"", ""Paid parking on premises"", ""High chair"", ""Iron"", ""Air conditioning"", ""Pool"", ""TV"", ""Wifi"", ""Clothing storage"", ""Microwave"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,30/03/2022,04/12/2022,VT-34100-V,t,f,t,within an hour,30/01/2018,26123402.0,170698476,39.481,-0.37018,5.0,1.0,2.0,4.0,101.4,1.0,242.2,4.0,11.0,365,365,10.8,365.0,19,48,73,117,2.0,0.0,0.0,0.05,3.5,4.0,3.5,5.0,5.0,5.0,4.6,4.7,2.9,0.0,0.0
Desconocido,TRINITAT,LA SAIDIA,Entire rental unit,Entire home/apt,2 baths,"[""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Patio or balcony"", ""Lockbox"", ""Crib"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Dining table"", ""Paid parking on premises"", ""High chair"", ""Iron"", ""Air conditioning"", ""Pool"", ""TV"", ""Wifi"", ""Clothing storage"", ""Microwave"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,17/10/2021,17/11/2023,VT-34097-V,t,f,t,within an hour,30/01/2018,26123453.0,170698476,39.47891,-0.37138,5.0,1.0,2.0,4.0,101.4,1.0,242.2,3.0,11.0,365,365,8.0,365.0,19,49,79,123,3.0,0.0,0.0,0.07,4.67,4.67,4.67,5.0,4.33,4.67,4.33,4.7,2.9,0.0,0.0
Desconocido,TRINITAT,LA SAIDIA,Entire rental unit,Entire home/apt,2 baths,"[""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Patio or balcony"", ""Lockbox"", ""Crib"", ""Self check-in"", ""Room-darkening shades"", ""Paid parking on premises"", ""High chair"", ""Iron"", ""Air conditioning"", ""TV"", ""Wifi"", ""Shared pool""]",t,20/06/2025,31/07/2021,22/07/2023,VT-34099-V,t,f,t,within an hour,30/01/2018,26123497.0,170698476,39.47914,-0.37198,5.0,1.0,2.0,4.0,101.4,1.0,242.2,3.0,11.0,365,365,8.0,365.0,19,49,79,123,4.0,0.0,0.0,0.08,4.75,4.5,4.75,4.75,4.75,4.5,4.5,4.7,2.9,0.0,0.0
"Valencia, Comunidad Valenciana, Spain",MESTALLA,EL PLA DEL REAL,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Heating"", ""Ethernet connection"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Toaster"", ""Shampoo"", ""Private entrance"", ""Laundromat nearby"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Essentials"", ""Coffee maker: pour-over coffee"", ""Dining table"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Elevator"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""Shower gel"", ""Wifi"", ""Long term stays allowed"", ""Mosquito net"", ""Clothing storage"", ""City skyline view"", ""Microwave"", ""Host greets you"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,02/07/2018,16/06/2025,ESFCNT00004606100032671400000000000000000000000000009,f,t,t,within an hour,19/06/2018,26149130.0,196554269,39.46614,-0.3574,2.0,1.0,1.0,1.0,71.0,3.0,90.0,2.0,3.0,1125,1125,3.0,1125.0,10,34,34,72,23.3,46.0,5.0,3.11,4.79,4.87,4.84,4.95,4.94,4.7,4.61,1.0,1.0,0.0,0.0
"Valencia / València, Spain",SANT FRANCESC,CIUTAT VELLA,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Exterior security cameras on property"", ""Kitchen"", ""Bidet"", ""Luggage dropoff allowed"", ""Single level home"", ""Dishes and silverware"", ""Hot water"", ""Refrigerator"", ""Heating - split type ductless system"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Fire extinguisher"", ""Stove"", ""Patio or balcony"", ""Shampoo"", ""Safe"", ""Lockbox"", ""Crib"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Pets allowed"", ""Cleaning available during stay"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""AC - split type ductless system"", ""Elevator"", ""Iron"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Microwave""]",t,20/06/2025,19/01/2019,09/01/2025,AT-42273-V,t,f,t,within an hour,20/03/2017,26155664.0,121643082,39.47199,-0.37146,4.0,1.0,1.0,2.0,96.0,1.0,242.2,1.0,6.0,2,1125,2.5,483.2,16,30,37,255,23.0,3.0,0.0,0.29,4.65,4.87,4.48,4.87,4.91,4.96,4.7,18.0,18.0,0.0,0.0
"Valencia / València, Spain",SANT FRANCESC,CIUTAT VELLA,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Exterior security cameras on property"", ""Kitchen"", ""Luggage dropoff allowed"", ""Single level home"", ""Dishes and silverware"", ""Hot water"", ""Refrigerator"", ""Heating - split type ductless system"", ""Electric stove"", ""Bed linens"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Shampoo"", ""Safe"", ""Lockbox"", ""Crib"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Pets allowed"", ""Cleaning available during stay"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""AC - split type ductless system"", ""Elevator"", ""Iron"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Microwave""]",t,20/06/2025,23/12/2018,09/10/2023,AT-42275-V,t,f,t,within an hour,20/03/2017,26157273.0,121643082,39.47199,-0.37146,4.0,1.0,1.0,2.0,96.0,1.0,242.2,1.0,4.0,1,1125,2.6,440.5,7,26,35,262,12.0,0.0,0.0,0.15,4.08,4.17,4.17,4.92,4.67,5.0,3.92,18.0,18.0,0.0,0.0
"València, Comunidad Valenciana, Spain",LA SEU,CIUTAT VELLA,Entire rental unit,Entire home/apt,2 baths,"[""Cleaning products"", ""Kitchen"", ""Wine glasses"", ""Outdoor dining area"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Dishes and silverware"", ""Outdoor furniture"", ""Hot water"", ""Drying rack for clothing"", ""Paid clamp on table seat high chair - available upon request"", ""Heating - split type ductless system"", ""Bed linens"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""BOSH stainless steel double oven"", ""Toaster"", ""Coffee"", ""Rituals. shampoo"", ""Laundromat nearby"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Coffee maker: espresso machine"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""AC - split type ductless system"", ""Private patio or balcony"", ""Iron"", ""Smoke alarm"", ""BOSH refrigerator"", ""Shower gel"", ""TV"", ""Wifi"", ""Rituals body soap"", ""Long term stays allowed"", ""Paid parking lot off premises"", ""City skyline view"", ""Microwave"", ""BALAY electric stove"", ""Host greets you"", ""Paid crib - available upon request"", ""Hot water kettle""]",t,20/06/2025,18/11/2018,20/03/2024,AT-40227-V,t,f,t,within a few hours,20/06/2018,26176965.0,196748189,39.47788,-0.37437,4.0,1.0,1.0,1.0,173.0,1.0,242.2,1.0,5.0,10,1125,2.1,281.9,6,28,51,276,101.0,0.0,0.0,1.26,4.73,4.8,4.8,4.74,4.79,4.98,4.66,1.0,1.0,0.0,0.0
Desconocido,CABANYAL-CANYAMELAR,POBLATS MARITIMS,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Wine glasses"", ""Outdoor dining area"", ""Dishes and silverware"", ""Refrigerator"", ""Bed linens"", ""Ethernet connection"", ""Free washer \u2013 In unit"", ""Hangers"", ""Hair dryer"", ""Patio or balcony"", ""Paid parking off premises"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""AC - split type ductless system"", ""Iron"", ""TV"", ""Wifi"", ""Clothing storage: wardrobe"", ""Microwave"", ""Host greets you"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,09/07/2018,16/06/2025,Sin licencia,t,f,t,within an hour,22/06/2018,26245471.0,197256179,39.4714,-0.33005,4.0,1.0,1.0,2.0,107.0,4.0,10.0,2.0,5.0,10,10,4.1,10.0,19,46,76,343,23.3,25.0,2.0,1.67,4.29,4.52,4.37,4.79,4.74,4.23,4.18,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",SANT FRANCESC,CIUTAT VELLA,Entire rental unit,Entire home/apt,1.5 baths,"[""Kitchen"", ""TV"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Paid parking on premises"", ""Hot water"", ""Iron"", ""Refrigerator"", ""Air conditioning"", ""Washer"", ""Host greets you"", ""Heating"", ""Hangers"", ""Hair dryer""]",t,20/06/2025,27/07/2018,18/05/2025,VT-44869-V,t,f,t,within an hour,03/08/2015,26252623.0,40365679,39.47066,-0.37839,3.3,1.0,1.4,6.0,210.0,1.0,242.2,1.0,1.0,1125,1125,1.0,1125.0,7,26,55,317,23.3,42.0,0.0,2.74,4.46,4.49,4.19,4.75,4.85,4.96,4.45,5.0,3.0,2.0,0.0
"València, Comunidad Valenciana, Spain",EL PERELLONET,POBLATS DEL SUD,Entire condo,Entire home/apt,1 bath,"[""Bathtub"", ""Cleaning products"", ""Ceiling fan"", ""Bidet"", ""Kitchen"", ""Wine glasses"", ""Outdoor dining area"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Exercise equipment"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Shared backyard"", ""Shared gym in building"", ""Private entrance"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Breakfast"", ""Clothing storage: closet"", ""40 inch HDTV with Amazon Prime Video"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""Elevator"", ""Private patio or balcony"", ""Iron"", ""Resort access"", ""Free street parking"", ""Shower gel"", ""Beach view"", ""Wifi"", ""Long term stays allowed"", ""Shared beach access \u2013 Beachfront"", ""Shared sauna"", ""Shared pool"", ""Ocean view"", ""Microwave"", ""Waterfront"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing""]",t,20/06/2025,02/10/2018,04/05/2025,ESFCTU00046058000237348000000000000000000VT-46537-V1,f,f,t,within a few hours,12/03/2017,26253080.0,120345977,39.5,-0.4,4.0,1.0,2.0,3.0,119.0,5.0,10.0,5.0,5.0,10,10,5.0,10.0,2,2,2,90,35.0,4.0,0.0,0.43,4.86,4.83,4.77,4.91,4.89,4.74,4.66,1.0,1.0,0.0,0.0
Desconocido,CAMPANAR,CAMPANAR,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Toaster"", ""Shampoo"", ""Patio or balcony"", ""Private entrance"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Essentials"", ""Coffee maker"", ""Extra pillows and blankets"", ""Blender"", ""Iron"", ""Free parking on premises"", ""Smoke alarm"", ""Free street parking"", ""Shower gel"", ""Wifi"", ""Clothing storage"", ""Microwave"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,15/07/2018,30/08/2024,Sin licencia,f,f,t,within an hour,03/07/2015,26274545.0,37406182,39.48501,-0.38914,4.0,1.0,3.0,3.0,89.0,3.0,60.0,3.0,3.0,60,60,3.0,60.0,10,19,38,39,40.0,8.0,0.0,0.47,4.7,4.98,4.8,4.98,4.95,4.65,4.65,6.0,5.0,1.0,0.0
Desconocido,LA MALVA-ROSA,POBLATS MARITIMS,Entire rental unit,Entire home/apt,1.5 baths,"[""Cleaning products"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Outdoor dining area"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Toaster"", ""Shampoo"", ""Laundromat nearby"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Essentials"", ""Conditioner"", ""Dining table"", ""Coffee maker"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Elevator"", ""Iron"", ""Beach access \u2013 Beachfront"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Mosquito net"", ""Clothing storage"", ""Ocean view"", ""Microwave"", ""Waterfront"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,03/08/2018,17/08/2024,VT40572V,f,f,t,No especificado,01/06/2020,26290983.0,348324065,39.47596,-0.32757,4.0,1.0,3.0,3.0,155.0,10.0,50.0,1.9,10.0,50,50,10.0,50.0,5,28,32,37,24.0,6.0,0.0,0.29,4.67,4.71,4.71,4.92,4.88,4.58,4.33,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",VARA DE QUART,PATRAIX,Entire loft,Entire home/apt,1.5 baths,"[""Bathtub"", ""Cleaning products"", ""Backyard"", ""Kitchen"", ""Wine glasses"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dishes and silverware"", ""Children\u2019s books and toys for ages 0-2 years old"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Ethernet connection"", ""Hangers"", ""Hair dryer"", ""Fire extinguisher"", ""Dishwasher"", ""Shampoo"", ""Coffee maker: Nespresso"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Piano"", ""Essentials"", ""Dining table"", ""Pocket wifi"", ""Elevator"", ""Private patio or balcony"", ""High chair"", ""Iron"", ""Free parking on premises"", ""Air conditioning"", ""Smoke alarm"", ""Free street parking"", ""Shower gel"", ""TV"", ""Baby bath"", ""Clothing storage: wardrobe"", ""Crib - available upon request"", ""Wifi"", ""Long term stays allowed"", ""Children\u2019s dinnerware"", ""Shared pool"", ""Microwave"", ""Changing table"", ""Host greets you"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,08/07/2018,10/10/2022,Sin licencia,f,f,t,a few days or more,24/06/2018,26300027.0,197745701,39.46076,-0.41245,4.0,1.0,1.0,2.0,77.0,2.0,242.2,2.0,2.0,1125,1125,2.0,1125.0,6,7,31,298,29.0,0.0,0.0,0.34,4.52,4.69,4.55,4.83,4.9,4.31,4.52,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",BENIMACLET,BENIMACLET,Private room in rental unit,Private room,1.5 shared baths,"[""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Heating"", ""Stove"", ""Patio or balcony"", ""Cooking basics"", ""Private living room"", ""Pets allowed"", ""Essentials"", ""Air conditioning"", ""TV"", ""Wifi"", ""Smoking allowed"", ""Microwave"", ""First aid kit"", ""Host greets you""]",t,20/06/2025,07/07/2018,22/09/2019,Sin licencia,f,f,t,a few days or more,13/06/2017,26313421.0,134842657,39.48526,-0.35996,1.0,1.0,1.0,1.0,40.0,2.0,50.0,2.0,2.0,50,50,2.0,50.0,29,59,89,364,20.0,0.0,0.0,0.24,4.55,4.6,4.4,4.95,4.65,4.9,4.6,3.0,0.0,0.3,0.0
"València, Comunidad Valenciana, Spain",EL PERELLONET,POBLATS DEL SUD,Entire rental unit,Entire home/apt,1 bath,"[""Bay view"", ""Backyard"", ""Fire pit"", ""Wine glasses"", ""Outdoor furniture"", ""Oven"", ""Heating"", ""Hair dryer"", ""Laundromat nearby"", ""Cooking basics"", ""Freezer"", ""Books and reading material"", ""Essentials"", ""Coffee maker"", ""AC - split type ductless system"", ""Private patio or balcony"", ""Iron"", ""Free parking on premises"", ""Beach access \u2013 Beachfront"", ""Beach view"", ""Wifi"", ""Crib - available upon request"", ""Ocean view"", ""Waterfront"", ""Host greets you""]",t,20/06/2025,06/09/2018,15/06/2025,VT45592V,t,t,t,within an hour,25/06/2018,26317248.0,197858968,39.5,-0.29305,4.0,1.0,2.0,3.0,113.0,3.0,242.2,3.0,3.0,183,183,3.0,183.0,1,1,6,80,53.0,17.0,2.0,0.64,4.89,4.89,4.74,4.98,4.94,4.77,4.72,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",RUSSAFA,L'EIXAMPLE,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Patio or balcony"", ""Shampoo"", ""Paid parking off premises"", ""Pack \u2019n play/Travel crib"", ""Room-darkening shades"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Iron"", ""Air conditioning"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Smoking allowed"", ""Microwave"", ""Host greets you""]",t,20/06/2025,01/07/2018,17/08/2023,VT-46380-V,f,f,t,No especificado,01/04/2013,26360246.0,5720816,39.46144,-0.37319,5.0,1.0,3.0,4.0,120.0,3.2,300.0,1.9,4.7,300,300,4.0,300.0,29,59,89,270,73.0,0.0,0.0,0.86,4.81,4.9,4.9,4.93,4.95,4.97,4.81,1.0,1.0,0.0,0.0
